Order,Title,URL,Published_Date,Reads,Votes,Comments
1,Chapter 1: Oblivious,https://www.wattpad.com/1396603061-homecoming-chapter-1-oblivious,"Thu, Nov 9, 2023",12194,354,112
2,Chapter 2: Distress,https://www.wattpad.com/1396958911-homecoming-chapter-2-distress,"Sat, Nov 11, 2023",7067,314,17
3,Chapter 3: Decisions,https://www.wattpad.com/1397226682-homecoming-chapter-3-decisions,"Sun, Nov 12, 2023",6171,314,50
4,Chapter 4: Palpitations,https://www.wattpad.com/1397540726-homecoming-chapter-4-palpitations,"Mon, Nov 13, 2023",5459,273,6
5,Chapter 5: Warnings,https://www.wattpad.com/1397755184-homecoming-chapter-5-warnings,"Tue, Nov 14, 2023",5656,294,56
6,Chapter 6: Smiles and Sorrows,https://www.wattpad.com/1399864274-homecoming-chapter-6-smiles-and-sorrows,"Wed, Nov 22, 2023",5596,253,94
7,Chapter 7: Release,https://www.wattpad.com/1400346899-homecoming-chapter-7-release,"Fri, Nov 24, 2023",4602,272,85
8,Chapter 8: Stirrings,https://www.wattpad.com/1400560539-homecoming-chapter-8-stirrings,"Sat, Nov 25, 2023",4709,270,86
9,Chapter 9: Awakening,https://www.wattpad.com/1400891256-homecoming-chapter-9-awakening,"Sun, Nov 26, 2023",4571,282,65
10,Chapter 10: Patience,https://www.wattpad.com/1401162760-homecoming-chapter-10-patience,"Mon, Nov 27, 2023",4486,288,63
11,Chapter 11: Lesson,https://www.wattpad.com/1401877933-homecoming-chapter-11-lesson,"Thu, Nov 30, 2023",4353,266,63
12,Chapter 12: Beginnings,https://www.wattpad.com/1402125315-homecoming-chapter-12-beginnings,"Fri, Dec 1, 2023",4449,261,27
13,Chapter 13: Clash,https://www.wattpad.com/1402381134-homecoming-chapter-13-clash,"Sat, Dec 2, 2023",4301,272,57
14,Chapter 14: Extortion,https://www.wattpad.com/1402672961-homecoming-chapter-14-extortion,"Sun, Dec 3, 2023",4462,285,103
15,Chapter 15: Homage,https://www.wattpad.com/1403852583-homecoming-chapter-15-homage,"Fri, Dec 8, 2023",4443,294,81
16,Chapter 16: Eruption,https://www.wattpad.com/1404138550-homecoming-chapter-16-eruption,"Sat, Dec 9, 2023",4583,268,69
17,Chapter 17: Bliss?,https://www.wattpad.com/1404668262-homecoming-chapter-17-bliss,"Mon, Dec 11, 2023",4441,249,82
18,Chapter 18: Turmoil,https://www.wattpad.com/1405161984-homecoming-chapter-18-turmoil,"Wed, Dec 13, 2023",4071,255,43
19,Chapter 19: Parting,https://www.wattpad.com/1405679525-homecoming-chapter-19-parting,"Fri, Dec 15, 2023",4184,261,156
20,Chapter 20: Revelations,https://www.wattpad.com/1405910296-homecoming-chapter-20-revelations,"Sat, Dec 16, 2023",4493,285,81
21,Chapter 21: Tough Love,https://www.wattpad.com/1407269390-homecoming-chapter-21-tough-love,"Thu, Dec 21, 2023",4324,272,48
22,Chapter 22: Welcome,https://www.wattpad.com/1407536221-homecoming-chapter-22-welcome,"Fri, Dec 22, 2023",4080,273,71
23,Chapter 23: This or that,https://www.wattpad.com/1407801164-homecoming-chapter-23-this-or-that,"Sat, Dec 23, 2023",3986,285,98
24,Chapter 24: Dreams,https://www.wattpad.com/1408073705-homecoming-chapter-24-dreams,"Sun, Dec 24, 2023",4153,273,138
25,Chapter 25: Reparations,https://www.wattpad.com/1408282607-homecoming-chapter-25-reparations,"Mon, Dec 25, 2023",4114,289,76
26,Chapter 26: A Helping Hand,https://www.wattpad.com/1409493319-homecoming-chapter-26-a-helping-hand,"Fri, Dec 29, 2023",4059,284,108
27,Chapter 27: Sessions,https://www.wattpad.com/1410129635-homecoming-chapter-27-sessions,"Sun, Dec 31, 2023",4024,276,128
28,Chapter 28: A Little Closer,https://www.wattpad.com/1410390908-homecoming-chapter-28-a-little-closer,"Mon, Jan 1, 2024",4479,288,118
29,Chapter 29: Warmups,https://www.wattpad.com/1411627292-homecoming-chapter-29-warmups,"Fri, Jan 5, 2024",4101,274,276
30,Chapter 30: The End?,https://www.wattpad.com/1411901414-homecoming-chapter-30-the-end,"Sat, Jan 6, 2024",4348,270,125
31,Chapter 31: Forever,https://www.wattpad.com/1412246870-homecoming-chapter-31-forever,"Sun, Jan 7, 2024",5265,319,494
32,Chapter 32: Agony,https://www.wattpad.com/1413004414-homecoming-chapter-32-agony,"Wed, Jan 10, 2024",4908,267,191
33,Chapter 33: Reunion,https://www.wattpad.com/1413597538-homecoming-chapter-33-reunion,"Fri, Jan 12, 2024",5553,282,187
34,Chapter 34: Homecoming,https://www.wattpad.com/1413835602-chapter-34-homecoming,"Sat, Jan 13, 2024",6460,361,185
